  LAT(N)   LON(E)   DEPTH   STEP  DOSE RATE  TOTAL DOSE
 48.3101   8.8672  228.556    1  5.4543E+00  9.0905E-02
 48.2600   8.7993  228.788    2  5.4320E+00  1.8144E-01
 48.2125   8.7330  228.587    3  5.4250E+00  2.7185E-01
 48.1189   8.6028  228.313    4  5.4071E+00  3.6197E-01
 48.0254   8.4734  228.389    5  5.3807E+00  4.5165E-01
 47.9312   8.3437  228.743    6  5.3460E+00  5.4075E-01
 47.8376   8.2157  228.705    7  5.3246E+00  6.2949E-01
 47.7442   8.0885  228.256    8  5.3166E+00  7.1810E-01
 47.6509   7.9620  227.928    9  5.3043E+00  8.0651E-01
 47.5574   7.8359  227.772   10  5.2861E+00  8.9461E-01
 47.4635   7.7123  227.761   11  5.2628E+00  9.8232E-01
 47.3613   7.6017  227.557   12  5.2436E+00  1.0697E+00
 47.2521   7.5026  227.394   13  5.2214E+00  1.1567E+00
 47.1434   7.4045  227.185   14  5.2005E+00  1.2434E+00
 47.0888   7.3552  226.913   15  5.1951E+00  1.3300E+00
 47.0097   7.2847  227.071   16  5.1699E+00  1.4162E+00
 46.8765   7.1663  227.239   17  5.1323E+00  1.5017E+00
 46.7685   7.0706  226.885   18  5.1170E+00  1.5870E+00
 46.6606   6.9754  226.397   19  5.1056E+00  1.6721E+00
 46.5526   6.8807  226.371   20  5.0801E+00  1.7567E+00
 46.4439   6.7857  226.025   21  5.0647E+00  1.8412E+00
 46.3328   6.6891  225.650   22  5.0519E+00  1.9254E+00
 46.2763   6.6403  225.716   23  5.0375E+00  2.0093E+00
 46.2208   6.5924  225.439   24  5.0337E+00  2.0932E+00
 46.1026   6.5000  225.396   25  5.0091E+00  2.1767E+00
 45.9776   6.4234  225.458   26  4.9796E+00  2.2597E+00
 45.8518   6.3587  225.181   27  4.9590E+00  2.3423E+00
 45.7257   6.2943  225.070   28  4.9339E+00  2.4246E+00
 45.6002   6.2304  224.780   29  4.9139E+00  2.5065E+00
 45.4749   6.1666  224.414   30  4.8959E+00  2.5881E+00
 45.3506   6.1037  224.153   31  4.8749E+00  2.6693E+00
 45.2275   6.0419  223.985   32  4.8512E+00  2.7502E+00
 45.1059   5.9793  223.886   33  4.8260E+00  2.8306E+00
 44.9870   5.9163  223.809   34  4.8012E+00  2.9106E+00
 44.8709   5.8544  223.597   35  4.7799E+00  2.9903E+00
 44.8133   5.8236  223.354   36  4.7731E+00  3.0698E+00
 44.7554   5.7928  223.425   37  4.7575E+00  3.1491E+00
 44.6398   5.7317  223.235   38  4.7358E+00  3.2281E+00
 44.5248   5.6713  222.942   39  4.7196E+00  3.3067E+00
 44.4110   5.6118  223.030   40  4.6930E+00  3.3849E+00
 44.2979   5.5529  222.803   41  4.6752E+00  3.4629E+00
 44.1854   5.4946  222.139   42  4.6704E+00  3.5407E+00
 44.0723   5.4362  221.642   43  4.6607E+00  3.6184E+00
 43.9584   5.3776  221.263   44  4.6463E+00  3.6958E+00
 43.8443   5.3191  221.431   45  4.6150E+00  3.7727E+00
 43.7296   5.2606  221.570   46  4.5845E+00  3.8491E+00
 43.6146   5.2022  221.017   47  4.5722E+00  3.9253E+00
 43.5016   5.1360  220.655   48  4.5553E+00  4.0013E+00
 43.3999   5.0477  220.448   49  4.5370E+00  4.0769E+00
 43.3081   4.9457  220.469   50  4.5154E+00  4.1521E+00
 43.2150   4.8427  220.581   51  4.4914E+00  4.2270E+00
 43.1675   4.7902  220.501   52  4.4825E+00  4.3017E+00
 43.0739   4.6873  220.124   53  4.4707E+00  4.3762E+00
 42.9802   4.5847  219.748   54  4.4579E+00  4.4505E+00
 42.9314   4.5314  219.777   55  4.4442E+00  4.5246E+00
 42.8344   4.4258  219.366   56  4.4293E+00  4.5984E+00
 42.7374   4.3206  218.791   57  4.4207E+00  4.6721E+00
 42.6398   4.2153  218.763   58  4.3989E+00  4.7454E+00
 42.5420   4.1103  218.808   59  4.3753E+00  4.8183E+00
 42.4447   4.0040  218.610   60  4.3577E+00  4.8910E+00
 42.3500   3.8706  218.422   61  4.3399E+00  4.9633E+00
 42.2575   3.7116  218.314   62  4.3206E+00  5.0353E+00
 42.2112   3.6323  218.260   63  4.3109E+00  5.1071E+00
 42.1682   3.5580  218.112   64  4.3043E+00  5.1789E+00
 42.0821   3.4096  217.816   65  4.2909E+00  5.2504E+00
 41.9958   3.2616  217.520   66  4.2772E+00  5.3217E+00
 41.9526   3.1878  217.372   67  4.2687E+00  5.3928E+00
 41.9143   3.1229  217.064   68  4.2653E+00  5.4639E+00
 41.8393   2.9960  216.877   69  4.2490E+00  5.5347E+00
 41.7658   2.8718  217.153   70  4.2241E+00  5.6051E+00
 41.6933   2.7500  217.245   71  4.2036E+00  5.6752E+00
 41.6218   2.6311  217.121   72  4.1882E+00  5.7450E+00
 41.5501   2.5125  216.997   73  4.1727E+00  5.8145E+00
 41.4783   2.3941  216.873   74  4.1570E+00  5.8838E+00
 41.4064   2.2759  216.749   75  4.1412E+00  5.9528E+00
 41.3343   2.1581  216.625   76  4.1252E+00  6.0216E+00
 41.2622   2.0405  216.501   77  4.1091E+00  6.0901E+00
 41.1899   1.9231  216.377   78  4.0947E+00  6.1583E+00
 41.1175   1.8060  216.253   79  4.0819E+00  6.2264E+00
 41.0450   1.6892  216.130   80  4.0691E+00  6.2942E+00
 40.9723   1.5726  216.006   81  4.0557E+00  6.3618E+00
 40.8996   1.4563  215.882   82  4.0411E+00  6.4291E+00
 40.8267   1.3402  215.758   83  4.0265E+00  6.4962E+00
 40.7537   1.2244  215.635   84  4.0118E+00  6.5631E+00
 40.6806   1.1088  215.511   85  3.9970E+00  6.6297E+00
 40.6074   0.9935  215.388   86  3.9821E+00  6.6961E+00
 40.5340   0.8785  215.264   87  3.9656E+00  6.7622E+00
 40.4606   0.7637  215.141   88  3.9491E+00  6.8280E+00
 40.3870   0.6491  215.018   89  3.9325E+00  6.8935E+00
 40.3133   0.5348  214.895   90  3.9158E+00  6.9588E+00
 40.2395   0.4207  214.772   91  3.8990E+00  7.0238E+00
 40.1656   0.3069  214.649   92  3.8822E+00  7.0885E+00
 40.0916   0.1934  214.526   93  3.8654E+00  7.1529E+00
 40.0174   0.0800  214.403   94  3.8485E+00  7.2170E+00
 39.9432 359.9670  214.281   95  3.8307E+00  7.2809E+00
 39.8688 359.8541  214.159   96  3.8125E+00  7.3444E+00
 39.7943 359.7416  214.037   97  3.7951E+00  7.4077E+00
 39.7198 359.6292  213.915   98  3.7777E+00  7.4706E+00
 39.6451 359.5171  213.793   99  3.7606E+00  7.5333E+00
 39.5703 359.4053  213.671  100  3.7457E+00  7.5958E+00
 39.4954 359.2936  213.549  101  3.7306E+00  7.6579E+00
 39.4203 359.1823  213.428  102  3.7154E+00  7.7199E+00
 39.3452 359.0711  213.306  103  3.7002E+00  7.7815E+00
 39.2700 358.9602  213.185  104  3.6850E+00  7.8429E+00
 39.1946 358.8495  213.064  105  3.6703E+00  7.9041E+00
 39.1192 358.7391  212.942  106  3.6555E+00  7.9650E+00
 39.0437 358.6289  212.821  107  3.6406E+00  8.0257E+00
 38.9680 358.5190  212.700  108  3.6263E+00  8.0862E+00
 38.8922 358.4092  212.579  109  3.6128E+00  8.1464E+00
 38.8164 358.2997  212.459  110  3.5992E+00  8.2063E+00
 38.7404 358.1905  212.338  111  3.5856E+00  8.2661E+00
 38.6643 358.0814  212.217  112  3.5720E+00  8.3256E+00
 38.5882 357.9726  212.096  113  3.5584E+00  8.3849E+00
 38.5119 357.8641  211.976  114  3.5451E+00  8.4440E+00
 38.4355 357.7557  211.855  115  3.5315E+00  8.5029E+00
 38.3591 357.6476  211.735  116  3.5179E+00  8.5615E+00
 38.3208 357.5937  211.674  117  3.5112E+00  8.6200E+00
 38.2760 357.5333  211.432  118  3.5067E+00  8.6785E+00
 38.1863 357.4130  211.156  119  3.4936E+00  8.7367E+00
 GCR MODEL   4  TRANSPORT AND CUTOFFS: 0   SUPERPOSITION:   0
 DATE: 2019/11/00 HOUR:            0
 8.7367E+00 TOTAL          microSv, ICRP Pub. 103 EFFECTIVE DOSE 
