  LAT(N)   LON(E)   DEPTH   STEP  DOSE RATE  TOTAL DOSE
 50.0720  12.5242  357.177    1  2.5977E+00  4.3295E-02
 50.0720  12.5242  357.177    2  2.5977E+00  8.6591E-02
 50.0720  12.5242  357.177    3  2.5977E+00  1.2989E-01
 50.0720  12.5242  357.177    4  2.5977E+00  1.7318E-01
 50.0720  12.5242  357.177    5  2.5977E+00  2.1648E-01
 50.0720  12.5242  357.177    6  2.5977E+00  2.5977E-01
 50.0720  12.5242  357.177    7  2.5977E+00  3.0307E-01
 50.0720  12.5242  357.177    8  2.5977E+00  3.4636E-01
 50.0720  12.5242  357.177    9  2.5977E+00  3.8966E-01
 50.0720  12.5242  357.177   10  2.5977E+00  4.3295E-01
 50.0720  12.5242  357.177   11  2.5977E+00  4.7625E-01
 50.0720  12.5242  357.177   12  2.5977E+00  5.1955E-01
 50.0720  12.5242  357.177   13  2.5977E+00  5.6284E-01
 50.0720  12.5242  357.177   14  2.5977E+00  6.0614E-01
 50.0720  12.5242  357.177   15  2.5977E+00  6.4943E-01
 50.0720  12.5242  357.177   16  2.5977E+00  6.9273E-01
 50.0720  12.5242  357.177   17  2.5977E+00  7.3602E-01
 50.0720  12.5242  357.177   18  2.5977E+00  7.7932E-01
 50.0720  12.5242  357.177   19  2.5977E+00  8.2261E-01
 50.0720  12.5242  357.177   20  2.5977E+00  8.6591E-01
 50.0720  12.5242  357.177   21  2.5977E+00  9.0920E-01
 50.0720  12.5242  357.177   22  2.5977E+00  9.5250E-01
 50.0720  12.5242  357.177   23  2.5977E+00  9.9580E-01
 50.0720  12.5242  357.177   24  2.5977E+00  1.0391E+00
 50.0720  12.5242  357.177   25  2.5977E+00  1.0824E+00
 50.0720  12.5242  357.177   26  2.5977E+00  1.1257E+00
 50.0720  12.5242  357.177   27  2.5977E+00  1.1690E+00
 50.0720  12.5242  357.177   28  2.5977E+00  1.2123E+00
 50.0720  12.5242  357.177   29  2.5977E+00  1.2556E+00
 50.0720  12.5242  357.177   30  2.5977E+00  1.2989E+00
 50.0720  12.5242  357.177   31  2.5977E+00  1.3422E+00
 50.0720  12.5242  357.177   32  2.5977E+00  1.3855E+00
 50.0720  12.5242  357.177   33  2.5977E+00  1.4287E+00
 50.0720  12.5242  357.177   34  2.5977E+00  1.4720E+00
 50.0720  12.5242  357.177   35  2.5977E+00  1.5153E+00
 50.0720  12.5242  357.177   36  2.5977E+00  1.5586E+00
 50.0720  12.5242  357.177   37  2.5977E+00  1.6019E+00
 50.0720  12.5242  357.177   38  2.5977E+00  1.6452E+00
 50.0720  12.5242  357.177   39  2.5977E+00  1.6885E+00
 50.0720  12.5242  357.177   40  2.5977E+00  1.7318E+00
 50.0720  12.5242  357.177   41  2.5977E+00  1.7751E+00
 50.0720  12.5242  357.177   42  2.5977E+00  1.8184E+00
 50.0720  12.5242  357.177   43  2.5977E+00  1.8617E+00
 50.0720  12.5242  357.177   44  2.5977E+00  1.9050E+00
 50.0720  12.5242  357.177   45  2.5977E+00  1.9483E+00
 50.0720  12.5242  357.177   46  2.5977E+00  1.9916E+00
 50.0720  12.5242  357.177   47  2.5977E+00  2.0349E+00
 50.0720  12.5242  357.177   48  2.5977E+00  2.0782E+00
 50.0720  12.5242  357.177   49  2.5977E+00  2.1215E+00
 50.0720  12.5242  357.177   50  2.5977E+00  2.1648E+00
 50.0720  12.5242  357.177   51  2.5977E+00  2.2081E+00
 50.0720  12.5242  357.177   52  2.5977E+00  2.2514E+00
 50.0720  12.5242  357.177   53  2.5977E+00  2.2947E+00
 50.0720  12.5242  357.177   54  2.5977E+00  2.3380E+00
 50.0720  12.5242  357.177   55  2.5977E+00  2.3812E+00
 50.0720  12.5242  357.177   56  2.5977E+00  2.4245E+00
 50.0720  12.5242  357.177   57  2.5977E+00  2.4678E+00
 50.0720  12.5242  357.177   58  2.5977E+00  2.5111E+00
 50.0720  12.5242  357.177   59  2.5977E+00  2.5544E+00
 50.0720  12.5242  357.177   60  2.5977E+00  2.5977E+00
 50.0720  12.5242  357.177   61  2.5977E+00  2.6410E+00
 50.0720  12.5242  357.177   62  2.5977E+00  2.6843E+00
 50.0720  12.5242  357.177   63  2.5977E+00  2.7276E+00
 50.0720  12.5242  357.177   64  2.5977E+00  2.7709E+00
 50.0720  12.5242  357.177   65  2.5977E+00  2.8142E+00
 50.0720  12.5242  357.177   66  2.5977E+00  2.8575E+00
 50.0720  12.5242  357.177   67  2.5977E+00  2.9008E+00
 50.0720  12.5242  357.177   68  2.5977E+00  2.9441E+00
 50.0720  12.5242  357.177   69  2.5977E+00  2.9874E+00
 50.0720  12.5242  357.177   70  2.5977E+00  3.0307E+00
 50.0720  12.5242  357.177   71  2.5977E+00  3.0740E+00
 50.0720  12.5242  357.177   72  2.5977E+00  3.1173E+00
 50.0720  12.5242  357.177   73  2.5977E+00  3.1606E+00
 50.0720  12.5242  357.177   74  2.5977E+00  3.2039E+00
 50.0720  12.5242  357.177   75  2.5977E+00  3.2472E+00
 50.0720  12.5242  357.177   76  2.5977E+00  3.2905E+00
 50.0720  12.5242  357.177   77  2.5977E+00  3.3337E+00
 50.0720  12.5242  357.177   78  2.5977E+00  3.3770E+00
 50.0720  12.5242  357.177   79  2.5977E+00  3.4203E+00
 50.0720  12.5242  357.177   80  2.5977E+00  3.4636E+00
 50.0720  12.5242  357.177   81  2.5977E+00  3.5069E+00
 50.0720  12.5242  357.177   82  2.5977E+00  3.5502E+00
 50.0720  12.5242  357.177   83  2.5977E+00  3.5935E+00
 50.0720  12.5242  357.177   84  2.5977E+00  3.6368E+00
 50.0720  12.5242  357.177   85  2.5977E+00  3.6801E+00
 50.0720  12.5242  357.177   86  2.5977E+00  3.7234E+00
 50.0720  12.5242  357.177   87  2.5977E+00  3.7667E+00
 50.0720  12.5242  357.177   88  2.5977E+00  3.8100E+00
 50.0720  12.5242  357.177   89  2.5977E+00  3.8533E+00
 50.0720  12.5242  357.177   90  2.5977E+00  3.8966E+00
 50.0720  12.5242  357.177   91  2.5977E+00  3.9399E+00
 50.0720  12.5242  357.177   92  2.5977E+00  3.9832E+00
 50.0720  12.5242  357.177   93  2.5977E+00  4.0265E+00
 50.0720  12.5242  357.177   94  2.5977E+00  4.0698E+00
 50.0720  12.5242  357.177   95  2.5977E+00  4.1131E+00
 50.0477  12.4325  344.918   96  2.8194E+00  4.1601E+00
 49.9986  12.2505  320.906   97  3.3042E+00  4.2151E+00
 49.9355  12.0632  296.740   98  3.8638E+00  4.2795E+00
 49.8628  11.8851  276.763   99  4.3810E+00  4.3525E+00
 49.8284  11.8039  268.976  100  4.5957E+00  4.4291E+00
 49.7880  11.7090  261.457  101  4.8105E+00  4.5093E+00
 49.7126  11.5329  247.921  102  5.2164E+00  4.5963E+00
 49.6421  11.3694  238.466  103  5.5112E+00  4.6881E+00
